"comm_fkt","CSB","tot_consult","perc_consult"
"ANDRORANGAVOLA_ANIVORANO","MAHASOA",250,0.415973377703827
"ANDRORANGAVOLA_ANIVORANO","MAROTOKO",15,0.0249584026622296
"ANDRORANGAVOLA_LAVAKIANJA SUD","ANDRORANGAVOLA",117,0.9
"ANDRORANGAVOLA_LAVAKIANJA SUD","IFANADIANA",5,0.0384615384615385
"ANDRORANGAVOLA_LAVAKIANJA SUD","MAROTOKO",8,0.0615384615384615
"ANDRORANGAVOLA_MAHASOA","AMBODIMANGA NORD",1,0.000428265524625268
"ANDRORANGAVOLA_MAHASOA","AMPASINAMBO",1,0.000428265524625268
"ANDRORANGAVOLA_MAHASOA","ANDRORANGAVOLA",130,0.0556745182012848
"ANDRORANGAVOLA_MAHASOA","ANTARETRA",283,0.121199143468951
"ANDRORANGAVOLA_MAHASOA","IFANADIANA",7,0.00299785867237687
"ANDRORANGAVOLA_MAHASOA","KELILALINA",3,0.0012847965738758
"ANDRORANGAVOLA_MAHASOA","MAHASOA",1904,0.81541755888651
"ANDRORANGAVOLA_MAHASOA","MAROTOKO",6,0.00256959314775161
"ANDRORANGAVOLA_MANDRIAPOTSY","ANDRORANGAVOLA",32,0.615384615384615
"ANDRORANGAVOLA_MANDRIAPOTSY","IFANADIANA",20,0.384615384615385
"ANDRORANGAVOLA_NOSIBE SUD","AMBIABE",11,0.053921568627451
"ANDRORANGAVOLA_NOSIBE SUD","ANDRORANGAVOLA",159,0.779411764705882
"ANDRORANGAVOLA_NOSIBE SUD","ANTARETRA",2,0.00980392156862745
"ANDRORANGAVOLA_NOSIBE SUD","IFANADIANA",15,0.0735294117647059
"ANDRORANGAVOLA_NOSIBE SUD","MAHASOA",9,0.0441176470588235
